,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
0,ZH,Africa Eastern and Southern,GDP growth (annual %),2024,2.76383869054277,Aggregates,Aggregates,Aggregates,,
1,ZH,Africa Eastern and Southern,GDP growth (annual %),2023,1.9311603523693,Aggregates,Aggregates,Aggregates,,
2,ZH,Africa Eastern and Southern,GDP growth (annual %),2022,3.72271692296214,Aggregates,Aggregates,Aggregates,,
3,ZH,Africa Eastern and Southern,GDP growth (annual %),2021,4.57877206871177,Aggregates,Aggregates,Aggregates,,
4,ZH,Africa Eastern and Southern,GDP growth (annual %),2020,-2.81757208724623,Aggregates,Aggregates,Aggregates,,
5,ZH,Africa Eastern and Southern,GDP growth (annual %),2019,2.03007686221603,Aggregates,Aggregates,Aggregates,,
6,ZH,Africa Eastern and Southern,GDP growth (annual %),2018,2.70519413363353,Aggregates,Aggregates,Aggregates,,
7,ZH,Africa Eastern and Southern,GDP growth (annual %),2017,2.67752389715308,Aggregates,Aggregates,Aggregates,,
8,ZH,Africa Eastern and Southern,GDP growth (annual %),2016,2.13011703002091,Aggregates,Aggregates,Aggregates,,
9,ZI,Africa Western and Central,GDP growth (annual %),2024,4.5856736208091,Aggregates,Aggregates,Aggregates,,
10,ZI,Africa Western and Central,GDP growth (annual %),2023,3.66242752919044,Aggregates,Aggregates,Aggregates,,
11,ZI,Africa Western and Central,GDP growth (annual %),2022,4.47279468511532,Aggregates,Aggregates,Aggregates,,
12,ZI,Africa Western and Central,GDP growth (annual %),2021,2.54969083217036,Aggregates,Aggregates,Aggregates,,
13,ZI,Africa Western and Central,GDP growth (annual %),2020,-3.73062984236253,Aggregates,Aggregates,Aggregates,,
14,ZI,Africa Western and Central,GDP growth (annual %),2019,3.28168276850104,Aggregates,Aggregates,Aggregates,,
15,ZI,Africa Western and Central,GDP growth (annual %),2018,2.90466430784954,Aggregates,Aggregates,Aggregates,,
16,ZI,Africa Western and Central,GDP growth (annual %),2017,2.29634886599959,Aggregates,Aggregates,Aggregates,,
17,ZI,Africa Western and Central,GDP growth (annual %),2016,0.194316483405615,Aggregates,Aggregates,Aggregates,,
18,1A,Arab World,GDP growth (annual %),2024,1.70353102787844,Aggregates,Aggregates,Aggregates,,
19,1A,Arab World,GDP growth (annual %),2023,1.63495022269882,Aggregates,Aggregates,Aggregates,,
20,1A,Arab World,GDP growth (annual %),2022,7.00775934349392,Aggregates,Aggregates,Aggregates,,
21,1A,Arab World,GDP growth (annual %),2021,4.43160883511413,Aggregates,Aggregates,Aggregates,,
22,1A,Arab World,GDP growth (annual %),2020,-5.30102786914752,Aggregates,Aggregates,Aggregates,,
23,1A,Arab World,GDP growth (annual %),2019,1.74778112240244,Aggregates,Aggregates,Aggregates,,
24,1A,Arab World,GDP growth (annual %),2018,2.67255324455269,Aggregates,Aggregates,Aggregates,,
25,1A,Arab World,GDP growth (annual %),2017,1.32901000226768,Aggregates,Aggregates,Aggregates,,
26,1A,Arab World,GDP growth (annual %),2016,3.57286827951262,Aggregates,Aggregates,Aggregates,,
27,S3,Caribbean small states,GDP growth (annual %),2024,13.3129250895082,Aggregates,Aggregates,Aggregates,,
28,S3,Caribbean small states,GDP growth (annual %),2023,8.83833676011841,Aggregates,Aggregates,Aggregates,,
29,S3,Caribbean small states,GDP growth (annual %),2022,14.8851030062619,Aggregates,Aggregates,Aggregates,,
30,S3,Caribbean small states,GDP growth (annual %),2021,6.53181248270917,Aggregates,Aggregates,Aggregates,,
31,S3,Caribbean small states,GDP growth (annual %),2020,-9.0291630332097,Aggregates,Aggregates,Aggregates,,
32,S3,Caribbean small states,GDP growth (annual %),2019,0.875117819991502,Aggregates,Aggregates,Aggregates,,
33,S3,Caribbean small states,GDP growth (annual %),2018,1.21087866602529,Aggregates,Aggregates,Aggregates,,
34,S3,Caribbean small states,GDP growth (annual %),2017,-0.745458058997372,Aggregates,Aggregates,Aggregates,,
35,S3,Caribbean small states,GDP growth (annual %),2016,-3.08019901728429,Aggregates,Aggregates,Aggregates,,
36,B8,Central Europe and the Baltics,GDP growth (annual %),2024,2.0701601704917,Aggregates,Aggregates,Aggregates,,
37,B8,Central Europe and the Baltics,GDP growth (annual %),2023,0.70736329484285,Aggregates,Aggregates,Aggregates,,
38,B8,Central Europe and the Baltics,GDP growth (annual %),2022,4.04227221314891,Aggregates,Aggregates,Aggregates,,
39,B8,Central Europe and the Baltics,GDP growth (annual %),2021,6.57225386036488,Aggregates,Aggregates,Aggregates,,
40,B8,Central Europe and the Baltics,GDP growth (annual %),2020,-3.30111999071748,Aggregates,Aggregates,Aggregates,,
41,B8,Central Europe and the Baltics,GDP growth (annual %),2019,4.03229063844108,Aggregates,Aggregates,Aggregates,,
42,B8,Central Europe and the Baltics,GDP growth (annual %),2018,4.95337799401428,Aggregates,Aggregates,Aggregates,,
43,B8,Central Europe and the Baltics,GDP growth (annual %),2017,5.1071317914476,Aggregates,Aggregates,Aggregates,,
44,B8,Central Europe and the Baltics,GDP growth (annual %),2016,2.80726176295552,Aggregates,Aggregates,Aggregates,,
45,V2,Early-demographic dividend,GDP growth (annual %),2024,3.66894359356225,Aggregates,Aggregates,Aggregates,,
